_id,smiles,class,MOLECULEID,rdmol,mfp.bits[0],mfp.bits[1],mfp.bits[2],mfp.bits[3],mfp.bits[4],mfp.bits[5],mfp.bits[6],mfp.bits[7],mfp.bits[8],mfp.bits[9],mfp.bits[10],mfp.bits[11],mfp.bits[12],mfp.bits[13],mfp.bits[14],mfp.bits[15],mfp.bits[16],mfp.bits[17],mfp.bits[18],mfp.bits[19],mfp.bits[20],mfp.bits[21],mfp.bits[22],mfp.bits[23],mfp.bits[24],mfp.bits[25],mfp.bits[26],mfp.bits[27],mfp.bits[28],mfp.bits[29],mfp.bits[30],mfp.bits[31],mfp.bits[32],mfp.bits[33],mfp.bits[34],mfp.bits[35],mfp.bits[36],mfp.bits[37],mfp.bits[38],mfp.bits[39],mfp.bits[40],mfp.bits[41],mfp.bits[42],mfp.bits[43],mfp.bits[44],mfp.bits[45],mfp.bits[46],mfp.bits[47],mfp.bits[48],mfp.bits[49],mfp.bits[50],mfp.bits[51],mfp.bits[52],mfp.bits[53],mfp.bits[54],mfp.bits[55],mfp.bits[56],mfp.bits[57],mfp.bits[58],mfp.bits[59],mfp.bits[60],mfp.bits[61],mfp.bits[62],mfp.bits[63],mfp.bits[64],mfp.bits[65],mfp.bits[66],mfp.bits[67],mfp.bits[68],mfp.bits[69],mfp.bits[70],mfp.bits[71],mfp.bits[72],mfp.bits[73],mfp.bits[74],mfp.bits[75],mfp.bits[76],mfp.bits[77],mfp.bits[78],mfp.bits[79],mfp.bits[80],mfp.bits[81],mfp.count
1,Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1,Inactive,M18965,776t3gAAAAALAAAAAAAAAAAAAAAUAAAAFgAAAIABCABgAAAAAQEGAGAAAAACAgYAYAAAAAMBCAAgAAAAAgYAYAAAAAMBB0AoAAAAAwMGQGgAAAADAwEHQCgAAAADAwZAKAAAAAMEBkAoAAAAAwQHQCgAAAADAwZAKAAAAAMEBwBoAAAAAwECB0A4AAAAAwEDBkAoAAAAAwQIACgAAAADAgYAYAAAAAMBCABgAAAAAQEGAGAAAAADAQgAYAAAAAEBCwABAAECAAIDAAMEAAQFAAUGaAwGB2gMBwhoDAgJaAwFCWgMCQpoDAoLaAwLDCALDWgMDQ5oDAgOaAwODygCBBAAEBEAEBIAAhIAEhMAFAMFAgMEEBIFBgUJCAcGCgsNDggJFwEAAAAAAAAAABRKDDK/GCZfQAAAAACq8RK+EOk3QAAAAAAW+8u+LbIFQAAAAADpJrE9/fa1PwAAAAAW+8u+swxBPwAAAACq8RK+I9v5vAAAAADT3iC/k6kyvwAAAACq8RK+bcWuvwAAAAAhHyQ/liGOvwAAAAAhHyQ/8x+SvgAAAABNhK0/gSYCPgAAAACFfARA8x+SvgAAAAA/NTJAgSYCPgAAAACFfARAliGOvwAAAABNhK0/Y+7CvwAAAABNhK0//kMWwAAAAADSb5e/MCqBPwAAAAAv3ey/aysGPwAAAADSb5e/ysPqPwAAAAAv3ey/f2oUQAAAAAAW,71,75,80,90,128,147,152,194,210,222,233,314,334,345,356,378,428,433,454,463,492,508,519,577,610,633,650,656,672,697,700,721,740,750,774,807,820,831,849,897,932,935,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
2.0,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Inactive,M413388,776t3gAAAAALAAAAAAAAAAAAAAAnAAAAKwAAAIABBwBoAAAAAwIBBgAoAAAAAwQIACgAAAADAgZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQGQCgAAAADBAcAaAAAAAMCAQZAKAAAAAMEB0AoAAAAAwMGQGgAAAADAwEGQGgAAAADAwEGQCgAAAADBAdAKAAAAAMDBkAoAAAAAwQGQGgAAAADAwEHQCgAAAADAwZAaAAAAAMDAQZAaAAAAAMDAQZAaAAAAAMDAQZAaAAAAAMDAQYAYAAAAAEDBkAoAAAAAwQGQGgAAAADAwEGQCgAAAADBAZAaAAAAAMDAQZAKAAAAAMEBkBoAAAAAwMBBgAgAAAABAkAIAAAAAEJACAAAAABCQAgAAAAAQdAKAAAAAMDBkBoAAAAAwMBB0AoAAAAAwMGQCgAAAADBAZAaAAAAAMDAQYAYAAAAAEDCwABIAECKAIBAyADBGgMBAVoDAUGaAwGB2gMBwggCAkgCQpoDAoLaAwLDGgMDA1oDA0OaAwJDmgMDQ8gDxBoDBARaAwREmgMEhNoDBMUaAwPFGgMBxVoDAMVaAwGFgAAFyAXGGgMGBloDBkaaAwaG2gMGxxoDBccaAwbHQAdHgAdHwAdIAAZISAhImgMIiNoDCMkaAwkJWgMISVoDCQmABQFBgQFBgcVAwYKCwwNDgkGEBESExQPBhgZGhscFwUiISUkIxcBAAAAAAAAAAAniIXaPYV8mEAAAAAAiIXaPeviskAAAAAAyJgbvx4WwEAAAAAAKjpSPx4WwEAAAAAAKjpSP4V82kAAAAAAio7EP7iv50AAAAAAowEQQIV82kAAAAAAowEQQB4WwEAAAAAAArw9QOviskAAAAAAYHZrQB4WwEAAAAAAYHZrQIV82kAAAAAAjZeMQLiv50AAAAAAvHSjQIV82kAAAAAAvHSjQB4WwEAAAAAAjZeMQOviskAAAAAA7FG6QOviskAAAAAASS7RQB4WwEAAAAAAeAvoQOviskAAAAAAeAvoQIV8mEAAAAAASS7RQFJJi0AAAAAA7FG6QIV8mEAAAAAAio7EP+viskAAAAAAArw9QLiv50AAAAAAyJgbv1JJi0AAAAAAyJgbv9bFYUAAAAAA2T2pv3BfR0AAAAAAS1kCwNbFYUAAAAAAS1kCwFJJi0AAAAAA2T2pv4V8mEAAAAAAqRMwwIV8mEAAAAAAZMxdwLivpUAAAAAAQ60VwLRZr0AAAAAAEHpKwFafgUAAAAAA2T2pv6OSEkAAAAAA+aAnvxIU5z8AAAAAGeJovwWjgj8AAAAApgrevwWjgj8AAAAAfa7+vxIU5z8AAAAAkQ8OwKHWtD4AAAAAFg==,19,33,61,64,84,90,114,128,134,136,191,193,200,219,236,257,293,356,361,367,378,393,399,428,429,437,443,458,464,486,491,510,511,526,539,555,558,562,570,571,579,595,650,658,667,673,698,707,726,736,771,787,792,795,801,807,809,831,842,849,875,893,904,932,935,954,980,990,1012,,,,,,,,,,,,,,69
3.0,O=C(O)CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,Inactive,M3412451,776t3gAAAAALAAAAAAAAAAAAAAAfAAAAIgAAAIABCABoAAAAAwEBBgAoAAAAAwQIACgAAAADAgYAYAAAAAICBgBgAAAAAwEIAGAAAAABAQYAYAAAAAICBgBgAAAAAwEIAGAAAAABAQYAaAAAAAMDAQYAaAAAAAMDAQZAKAAAAAMEBkAoAAAAAwQHQCgAAAADAwZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQGQCgAAAADBAZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQJACAAAAABBkBoAAAAAwMBBkBoAAAAAwMBBgBgAAAAAwEGAGAAAAACAgYAYAAAAAICCwABIAECKAIBAwADBAAEBQAEBgAGBwAHCAAHCQAJCi4CBQEACgsgCwxoDAwNaAwNDmgMDg9oDA8QaAwQEWgMERJoDBITaAwOE2gMExRoDAsUaAwUFSAVFmgMFhdoDBcYaAwYGQAYGmgMGhtoDBUbaAwMHAAcHQAdHgAcHgAUBAYLFBMODQwGDxAREhMOBhYXGBobFQMdHB4XAQAAAAAAAAAAH3ctiUBmZp7AAAAAAKYKoECamavAAAAAAKYKoEAAAMbAAAAAANXntkBmZp7AAAAAADPEzUCamavAAAAAADPEzUAAAMbAAAAAAGKh5EBmZp7AAAAAAJF++0CamavAAAAAAJF++0AAAMbAAAAAAOAtCUFmZp7AAAAAAA+cFEGamavAAAAAAKYKIEFmZp7AAAAAAKYKIEEAAITAAAAAAD55K0GamW3AAAAAAG3nNkEAAITAAAAAAARWQkGamW3AAAAAAJzETUEAAITAAAAAAJzETUFmZp7AAAAAAARWQkGamavAAAAAAG3nNkFmZp7AAAAAAD55K0GamavAAAAAAD55K0EAAMbAAAAAAG3nNkEzM9PAAAAAAG3nNkGame3AAAAAAD55K0HNzPrAAAAAAD55K0GamQrBAAAAAKYKIEGame3AAAAAAKYKIEEzM9PAAAAAAA+cFEGamW3AAAAAANxoB0GamW3AAAAAAHUCDkE73z/AAAAAABY=,1,25,64,73,80,90,105,117,136,169,175,227,265,266,289,301,333,350,356,378,380,386,389,436,439,462,521,540,549,561,600,612,624,646,650,677,680,694,699,713,718,723,726,807,831,835,849,893,896,904,926,965,976,1014,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
4.0,O=C1CC(O)CC(C=Cc2c(C3CC3)nc3ccccc3c2-c2ccc(F)cc2)O1,Inactive,M97340488,776t3gAAAAALAAAAAAAAAAAAAAAeAAAAIgAAAIABCABgAAAAAQEGAGAAAAADAQYAYAAAAAICBgAoAAAAAwQIACgAAAADAggAKAAAAAMCBgBgAAAAAwEGAGgAAAADAwEGAGgAAAADAwEGQCgAAAADBAZAKAAAAAMEB0AoAAAAAwMGQCgAAAADBAZAaAAAAAMDAQZAaAAAAAMDAQZAaAAAAAMDAQZAaAAAAAMDAQZAKAAAAAMEBkAoAAAAAwQGQCgAAAADBAZAaAAAAAMDAQZAaAAAAAMDAQZAKAAAAAMECQAgAAAAAQZAaAAAAAMDAQZAaAAAAAMDAQYAYAAAAAMBBgBgAAAAAgIGAGAAAAACAgYAYAAAAAICCwABAAECAAIDAAMEKAIDBSAFBgAGBwAHCC4CBQEACAkgCQpoDAoLaAwLDGgMDA1oDA0OaAwOD2gMDxBoDBARaAwMEWgMERJoDAkSaAwSEyATFGgMFBVoDBUWaAwWFwAWGGgMGBloDBMZaAwKGgAaGwAbHAAaHAAGHQABHQAUBQYBHQYFAwIGCwwREgkKBg0ODxARDAYUFRYYGRMDGxocFwEAAAAAAAAAAB53LQnAmpltwAAAAAB3LQnAzcw4wAAAAADV5zbAZmYewAAAAADV5zbAMzPTvwAAAAA0omTAZmaevwAAAAB3LQnAZmaevwAAAAAy5ra/MzPTvwAAAAB56Ta/ZmaevwAAAAAAAAAAMzPTvwAAAAB56TY/ZmaevwAAAAB56TY/MzPTvgAAAAAy5rY/AAAAAAAAAAB3LQlAMzPTvgAAAADV5zZAAAAAAAAAAAA0omRAMzPTvgAAAAA0omRAZmaevwAAAADV5zZAMzPTvwAAAAB3LQlAZmaevwAAAAAy5rY/MzPTvwAAAAAy5rY/ZmYewAAAAAB3LQlAzcw4wAAAAAB3LQlAmpltwAAAAAAy5rY/AACEwAAAAAAy5rY/ZmaewAAAAAB56TY/mpltwAAAAAB56TY/zcw4wAAAAAAAAAAAAAAAAAAAAAAzM1O/AAAAAAAAAAAzM9O+eek2PwAAAAAy5ra/ZmYewAAAAAAW,64,73,80,90,105,136,175,204,231,233,245,265,268,277,289,301,314,333,350,356,378,380,386,389,436,437,439,462,521,549,590,591,624,646,650,656,694,699,718,723,726,750,770,807,831,835,849,882,896,904,926,970,976,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
5.0,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,Inactive,M409346,776t3gAAAAALAAAAAAAAAAAAAAAgAAAAIgAAAIABCABoAAAAAwEBBkAoAAAAAwQGQCgAAAADBAdAKAAAAAMDBkAoAAAAAwQHQCgAAAADAwZAKAAAAAMECAAoAAAAAwIGAGAAAAABAwYAIAAAAAQHAGgAAAADAgEGACgAAAADBAgAKAAAAAMCBkAoAAAAAwQHQCgAAAADAwdAKAAAAAMDBkAoAAAAAwQIQCgAAAADAgYAYAAAAAEDBgBgAAAAAQMGAGAAAAABAwYAKAAAAAMECAAoAAAAAwIHAGgAAAADAgEGAGAAAAACAgZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQJACAAAAABBkBoAAAAAwMBBkBoAAAAAwMBCwABIAECaAwCA2gMAwRoDAQFaAwFBmgMAQZoDAYHKAIFCAAECQAJCgAKCyALDCgCCw0gDQ5oDA4PaAwPEGgMEBFoDA0RaAwQEgAJEwAJFAACFSAVFigCFRcgFxgAGBkAGRpoDBobaAwbHGgMHB0AHB5oDB4faAwZH2gMFAMGAQYFBAMCBQ4NERAPBhobHB4fGRcBAAAAAAAAAAAgdy0JwDMz074AAAAAdy0JwGZmnr8AAAAAMua2vzMz078AAAAAMua2v2ZmHsAAAAAAdy0JwM3MOMAAAAAA1ec2wGZmHsAAAAAA1ec2wDMz078AAAAANKJkwGZmnr8AAAAANKJkwM3MOMAAAAAAdy0JwJqZbcAAAAAAdy0JwDMzkcAAAAAA1ec2wGZmnsAAAAAANKJkwDMzkcAAAAAA1ec2wM3MuMAAAAAAgy8MwBpRyMAAAAAAb4EcwIts4cAAAAAAPE5RwIts4cAAAAAAhJ5hwBpRyMAAAAAA1lZwwLTI9sAAAAAAVcGov5qZbcAAAAAARPo9wJqZbcAAAAAAeek2v2Zmnr8AAAAAeek2vzMz074AAAAAAAAAADMz078AAAAAeek2P2Zmnr8AAAAAeek2PzMz074AAAAAAAAAAAAAAIAAAAAAAAAAADMzUz8AAAAAeek2P2Zmnj8AAAAAeek2PwAABEAAAAAAMua2PzMzUz8AAAAAMua2PwAAAIAAAAAAFg==,26,33,80,90,114,121,128,140,163,197,202,245,246,255,256,279,310,314,351,354,356,378,380,386,392,419,486,490,495,504,534,549,564,578,580,598,638,646,649,650,656,698,699,709,726,730,743,758,807,813,831,841,849,893,904,928,935,,,,,,,,,,,,,,,,,,,,,,,,,,57
6.0,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1C=CC(O)CC(O)CC(=O)O,Inactive,M1497403,776t3gAAAAALAAAAAAAAAAAAAAAhAAAAIgAAAIABCABoAAAAAwEBBgAoAAAAAwQIACgAAAADAgYAYAAAAAICBgBgAAAAAwEIAGAAAAABAQYAYAAAAAICBgBgAAAAAwEIAGAAAAABAQYAaAAAAAMDAQYAaAAAAAMDAQZAKAAAAAMEBkAoAAAAAwQHQCgAAAADAwZAKAAAAAMEB0AoAAAAAwMGQCgAAAADBAYAYAAAAAMBBgBgAAAAAQMGAGAAAAABAwcAKAAAAAMDBgBgAAAAAQMQACAAAAAGCAAoAAAAAwIIACgAAAADAgYAYAAAAAEDBkAoAAAAAwQGQGgAAAADAwEGQGgAAAADAwEGQCgAAAADBAkAIAAAAAEGQGgAAAADAwEGQGgAAAADAwELAAEgAQIoAgEDAAMEAAQFAAQGAAYHAAcIAAcJAAkKLgIFAQAKCyALDGgMDA1oDA0OaAwOD2gMDxBoDAsQaAwQEQAREgAREwAOFCAUFQAUFgAWFwgCFhgIAhYZAAwaIBobaAwbHGgMHB1oDB0eAB0faAwfIGgMGiBoDBQCBgsQDw4NDAYbHB0fIBoXAQAAAAAAAAAAIdXntsAzM9O/AAAAAKYKoMBmZp6/AAAAAKYKoMAzM9O+AAAAAHcticAzM9O/AAAAADSiZMBmZp6/AAAAADSiZMAzM9O+AAAAANXnNsAzM9O/AAAAAHctCcBmZp6/AAAAAHctCcAzM9O+AAAAADLmtr8zM9O/AAAAAHnpNr9mZp6/AAAAAAAAAAAzM9O/AAAAAHnpNj9mZp6/AAAAADLmtj8zM9O/AAAAADLmtj9mZh7AAAAAAHnpNj/NzDjAAAAAAAAAAABmZh7AAAAAAHnpNr/NzDjAAAAAADLmtr9mZh7AAAAAAHnpNr+amW3AAAAAAHctCUDNzDjAAAAAAHctCUCamW3AAAAAANXnNkBmZh7AAAAAADSiZEAAAATAAAAAADxOUUDFIEzAAAAAAG+BHEAQWOG/AAAAAHnpNj8zM9O+AAAAAAAAAAAAAACAAAAAAAAAAAAzM1M/AAAAAHnpNj9mZp4/AAAAAHnpNj8AAARAAAAAADLmtj8zM1M/AAAAADLmtj8AAACAAAAAABY=,1,25,33,56,80,81,90,117,136,139,169,227,232,237,255,266,283,285,323,350,356,378,386,387,389,438,452,471,540,554,561,582,598,600,612,646,650,677,680,692,694,699,713,726,752,786,807,831,835,849,881,893,896,902,904,965,1014,,,,,,,,,,,,,,,,,,,,,,,,,,57
7.0,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,Inactive,M9471,776t3gAAAAALAAAAAAAAAAAAAAAxAAAANQAAAIABCABgAAAAAQEGAGAAAAADAQYAYAAAAAICBwAgAAAAAwYAYAAAAAICBgBgAAAAAwEGAGAAAAACAgYAYAAAAAICBgBgAAAAAgIGAGAAAAACAgYAYAAAAAMBBgBgAAAAAgIGAGAAAAADAQYAKAAAAAMECAAoAAAAAwIHAGgAAAADAgEGACAAAAAEBgBgAAAAAQMGAGAAAAABAwYAYAAAAAEDBgBgAAAAAwEHAGgAAAADAgEGACgAAAADBAgAKAAAAAMCBgBgAAAAAwEHAGgAAAADAgEGACgAAAADBAgAKAAAAAMCBkAoAAAAAwQHQCgAAAADAwZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQGQGgAAAADAwEGQGgAAAADAwEGAGAAAAACAgYAKAAAAAMECAAoAAAAAwIHAGgAAAADAQIGAGAAAAACAgZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBBkBoAAAAAwMBCwABAAECAAIDAAMEAAQFAAUGAAYHAAcIAAgJAAkKAAUKAAoLAAsMAAMMAAwNAA0OKAINDyAPEAAQEQAQEgAQEwABFAAUFQAVFiAWFygCFhgAGBkAGRogGhsoAhocIBwdaAwdHmgMHh9oDB8gaAwgIWgMISJoDCIjaAweI2gMIyRoDCQlaAwcJWgMGCYAJicAJygoAicpIBQqACorACssaAwsLWgMLS5oDC4vaAwvMGgMKzBoDBQFBgQFCgsMAwYGBwgJCgUGHR4jJCUcBh8gISIjHgYsLS4vMCsXAQAAAAAAAAAAMZoIf0DRIq/AAAAAADSiZEAAAMbAAAAAAGfVL0AAAMbAAAAAAABvFUDRIq/AAAAAAGdEwT/RIq/AAAAAAJp3jD90RpjAAAAAAAN4iz50RpjAAAAAAGB2D75EaYHAAAAAAAN4iz4rGFXAAAAAAJp3jD8rGFXAAAAAAGdEwT9EaYHAAAAAAABvFUBEaYHAAAAAAGfVL0B0RpjAAAAAADSiZEB0RpjAAAAAAJhuikDeAqPAAAAAAJoIf0BEaYHAAAAAALPqmUBEaYHAAAAAALPqmUCrz5vAAAAAALPqmUC8BU7AAAAAABpRtEBEaYHAAAAAAJoIf0Av3dzAAAAAALPqmUAv3dzAAAAAAOcdp0CMufPAAAAAALPqmUBeSwXBAAAAAE2EwUCMufPAAAAAAIC3zkBeSwXBAAAAAOcd6UBeSwXBAAAAABpR9kCMufPAAAAAABpR9kD1uRDBAAAAAMBbCEH1uRDBAAAAAFr1DkGNKBzBAAAAAI0oHEGNKBzBAAAAACfCIkG8lifBAAAAAI0oHEFTBTPBAAAAAFr1DkFTBTPBAAAAAMBbCEG8lifBAAAAABpR9kC8lifBAAAAAOcd6UCNKBzBAAAAAIC3zkAv3dzAAAAAAE2EwUAAAMbAAAAAAOcdp0AAAMbAAAAAAIC3zkDRIq/AAAAAADSiZECMufPAAAAAAGfVL0CMufPAAAAAAABvFUBeSwXBAAAAAGdEwT9eSwXBAAAAAJp3jD+MufPAAAAAAGdEwT8v3dzAAAAAAABvFUAv3dzAAAAAABY=,1,4,33,42,50,63,64,73,79,80,86,104,114,117,128,140,147,154,159,163,175,179,203,227,263,266,268,276,289,301,306,354,356,375,376,378,389,392,411,447,476,486,531,539,573,585,587,603,612,636,650,658,689,726,730,736,739,747,807,831,837,847,849,855,857,874,876,888,890,893,898,926,927,935,953,998,1019,,,,,,77
8.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Inactive,M110015,776t3gAAAAALAAAAAAAAAAAAAAAgAAAAIgAAAIABBwBoAAAAAwIBBgAoAAAAAwQIACgAAAADAgcAaAAAAAMCAQZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQRACAAAAABBkAoAAAAAwQGQGgAAAADAwEGACAAAAAECQAgAAAAAQkAIAAAAAEJACAAAAABBkAoAAAAAwQGQGgAAAADAwEGQGgAAAADAwEGQCgAAAADBAgAKAAAAAMCBkAoAAAAAwQGQGgAAAADAwEGQGgAAAADAwEHQCgAAAADAwZAKAAAAAMEBkBoAAAAAwMBBgAoAAAAAwQIACgAAAADAgcAaAAAAAMCAQYAYAAAAAEDBkBoAAAAAwMBBkBoAAAAAwMBCwABIAECKAIBAyADBCAEBWgMBQZoDAYHaAwHCAAHCWgMCQpoDAQKaAwJCwALDAALDQALDgAADyAPEGgMEBFoDBESaAwSEyATFCAUFWgMFRZoDBYXaAwXGGgMGBloDBQZaAwYGiAaGygCGhwgHB0AEh5oDB4faAwPH2gMFAMGBQYHCQoEBhAREh4fDwYVFhcYGRQXAQAAAAAAAAAAIHctCcDNzDjAAAAAAHctCcCamW3AAAAAADLmtr8AAITAAAAAANXnNsAAAITAAAAAANXnNsBmZp7AAAAAAHctCcCamavAAAAAAHctCcAAAMbAAAAAANXnNsAzM9PAAAAAANXnNsCame3AAAAAADSiZMAAAMbAAAAAADSiZMCamavAAAAAAHcticAzM9PAAAAAAKYKoMBmZuDAAAAAAKpglsAEVrzAAAAAAIj0d8BiEOrAAAAAADLmtr9mZh7AAAAAADLmtr8zM9O/AAAAAHnpNr9mZp6/AAAAAAAAAAAzM9O/AAAAAHnpNj9mZp6/AAAAAHnpNj8zM9O+AAAAAAAAAAAAAACAAAAAAAAAAAAzM1M/AAAAAHnpNj9mZp4/AAAAADLmtj8zM1M/AAAAADLmtj8AAACAAAAAAHctCUBmZp4/AAAAAHctCUAAAARAAAAAANXnNkAzM1M/AAAAADSiZEBmZp4/AAAAAAAAAABmZh7AAAAAAHnpNr/NzDjAAAAAABY=,9,33,53,56,114,128,153,184,191,193,228,262,322,345,346,356,366,378,406,419,428,429,445,486,552,561,593,619,645,650,659,666,682,695,718,726,787,792,807,809,842,843,849,855,875,893,904,930,965,966,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
9.0,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,Inactive,M668046,776t3gAAAAALAAAAAAAAAAAAAAAdAAAAHwAAAIABBwBoAAAAAwIBBgAoAAAAAwQIACgAAAADAgZAKAAAAAMEBkAoAAAAAwQHQDgAAAADAQMGQCgAAAADBAYAaAAAAAMDAQYAKAAAAAMEBgAoAAAAAwQIACgAAAADAgcAaAAAAAMCAQZAKAAAAAMEBkBoAAAAAwMBBkBoAAAAAwMBBkAoAAAAAwQJACAAAAABBkBoAAAAAwMBBkAoAAAAAwQGQCgAAAADBAYAYAAAAAEDBgBgAAAAAQMGAGAAAAACAgYAYAAAAAICBwAgAAAAAwYAYAAAAAICBgBgAAAAAQMGAGAAAAACAgYAYAAAAAEDCwABIAECKAIBAyADBGgMBAVoDAUGaAwGByAHCC4CBQEACAkgCQooAgkLIAsMIAwNaAwNDmgMDg9oDA8QAA8RaAwREmgMCBIgDBJoDAYTaAwDE2gMExQABBUAABYAFhcAFxgAGBkAGRoAGBsAGxwAFAMFAwQFBhMFCQgSDAsGDQ4PERIMFwEAAAAAAAAAAB3ZzrNANIAnwAAAAACmm6ZArIvzvwAAAADZzrNA8BaYvwAAAAA/NYxArIvzvwAAAADlYXlAKH4kwAAAAABfKUdAPSwUwAAAAABfKUdA4L6+vwAAAACwchxArK2AvwAAAAAibNg/nKKrvwAAAABseMI/jnUJwAAAAAAukARAlrIwwAAAAACP5DI/f/sOwAAAAAB1Aro+v329vwAAAAC+wde+6NmcvwAAAABLyBe/okXWvgAAAAB4eqU8cM4IPgAAAABj7hq+nMRwPwAAAABfB04/kKD4vQAAAABa9Xk/n6ttvwAAAADlYXlATx6evwAAAAAX2YRAJ8LmvgAAAAAX2YRAC7VWwAAAAAA/Nc5ANIAnwAAAAABzaNtAkzpVwAAAAADZzvVAkzpVwAAAAAAGgQFBp3mBwAAAAAA5tA5Bp3mBwAAAAAAGgQFBNIAnwAAAAAA5tA5BNIAnwAAAAAAW,8,33,36,74,80,90,96,107,128,142,197,251,252,253,281,290,294,314,352,356,386,388,463,466,486,527,571,586,590,620,624,633,646,650,667,692,694,698,699,721,726,753,807,840,849,875,881,893,904,927,932,957,958,966,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
10.0,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,Inactive,M12634,776t3gAAAAALAAAAAAAAAAAAAAAcAAAAHgAAAIABCABoAAAAAwEBBkAoAAAAAwQGQGgAAAADAwEGQCgAAAADBAgAaAAAAAMBAQZAaAAAAAMDAQZAKAAAAAMEBkBoAAAAAwMBBgBgAAAAAwEIAGAAAAABAQYAYAAAAAICBwBgAAAAAgEGAGAAAAACAgYAYAAAAAICBgBgAAAAAgIHQCgAAAADAwZAaAAAAAMDAQdAKAAAAAMDBkAoAAAAAwQHQCgAAAADAwZAKAAAAAMECAAoAAAAAwIHQCgAAAADAwZAKAAAAAMECAAoAAAAAwIGQCgAAAADBAYAYAAAAAEDBgBgAAAAAQMLAAEgAQJoDAIDaAwDBCADBWgMBQZoDAYHaAwBB2gMBggACAkACAoACgsACwwADA0ADQ4ADg8ADxBoDBARaAwREmgMEhNoDBMUaAwUFSgCFBZoDBYXaAwXGCgCFxloDA8ZaAwSGWgMFhoAExsAFAMGAQcGBQMCBRAPGRIRBhMUFhcZEhcBAAAAAAAAAAAcQxxbQNPeVMAAAAAAQxxbQAYSIMAAAAAA5WEtQJ+rBcAAAAAA5WEtQKW9ob8AAAAAVFL/P7HhWb8AAAAAQxxbQLHhWb8AAAAAUWuEQKW9ob8AAAAAUWuEQJ+rBcAAAAAArkebQLHhWb8AAAAArkebQKvP1bwAAAAA3SSyQKW9ob8AAAAADALJQLHhWb8AAAAAO9/fQKW9ob8AAAAAmbv2QLHhWb8AAAAAZMwGQaW9ob8AAAAA+zoSQbHhWb8AAAAAD5wTQZF++7wAAAAAiIUgQRdIED4AAAAAIR8nQXPXEr8AAAAAmgg0QeC+Pr8AAAAArBw4QX3Qw78AAAAAJQZFQTPE2b8AAAAArkcvQaMjCcAAAAAANV4iQY9T/L8AAAAAN4kZQc9mJcAAAAAAukkeQcnll78AAAAAwFszQSlcO8AAAAAAmN08QQIrB74AAAAAFg==,0,1,33,80,121,128,167,179,221,227,234,283,293,314,338,341,350,351,356,378,400,411,416,420,428,431,504,564,574,578,606,632,650,667,672,675,745,771,807,849,875,887,932,935,942,959,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
